Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-PGABMA-Fin.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
ABMA	Adult	151.97	101.46	--	--	--	--	32.25	--	--	--
ABMA	Adult	137.76	133.67	--	--	--	--	5.22	--	--	--
ABMA	Adult	194.53	49.32	--	--	--	--	14.45	--	--	--
ABMA	Adult	222.17	187.81	--	--	--	--	8.71	--	--	--
ABMA	Adult	34.25	173.52	--	--	--	--	29.57	--	--	--
ABMA	Adult	190.09	198.64	--	--	--	--	28.57	--	--	--
ABMA	Adult	148.24	209.56	--	--	--	--	24.73	--	--	--
ABMA	Adult	239.55	35.28	--	--	--	--	5.65	--	--	--
ABMA	Adult	294.8	292.47	--	--	--	--	25.3	--	--	--
ABMA	Adult	46.81	208.96	--	--	--	--	11.29	--	--	--
ABMA	Adult	134.96	79.51	--	--	--	--	13.71	--	--	--
ABMA	Adult	146.54	208.06	--	--	--	--	27.2	--	--	--
ABMA	Adult	241.4	113.81	--	--	--	--	13.78	--	--	--
ABMA	Adult	185.68	40.9	--	--	--	--	7.0	--	--	--
ABMA	Adult	210.15	214.41	--	--	--	--	10.6	--	--	--
ABMA	Adult	153.37	138.64	--	--	--	--	112.53	--	--	--
ABMA	Adult	249.25	237.43	--	--	--	--	5.4	--	--	--
ABMA	Adult	266.16	5.41	--	--	--	--	9.88	--	--	--
ABMA	Adult	10.4	228.5	--	--	--	--	28.28	--	--	--
ABMA	Adult	31.95	172.52	--	--	--	--	82.05	--	--	--
ABMA	Adult	252.47	252.9	--	--	--	--	53.38	--	--	--
ABMA	Adult	107.32	279.91	--	--	--	--	520.89	--	--	--
ABMA	Adult	187.25	94.11	--	--	--	--	3.92	--	--	--
ABMA	Adult	177.34	297.59	--	--	--	--	73.16	--	--	--
ABMA	Adult	68.84	281.89	--	--	--	--	12.41	--	--	--
ABMA	Adult	178.18	211.78	--	--	--	--	2.97	--	--	--
ABMA	Adult	282.28	268.82	--	--	--	--	12.05	--	--	--
ABMA	Adult	288.85	81.82	--	--	--	--	13.77	--	--	--
ABMA	Adult	189.85	237.79	--	--	--	--	10.08	--	--	--
ABMA	Adult	226.22	42.1	--	--	--	--	12.41	--	--	--
ABMA	Adult	246.17	269.91	--	--	--	--	51.4	--	--	--
ABMA	Adult	56.52	147.63	--	--	--	--	12.5	--	--	--
ABMA	Adult	237.35	274.82	--	--	--	--	9.27	--	--	--
ABMA	Adult	10.16	298.55	--	--	--	--	10.05	--	--	--
ABMA	Adult	182.88	18.12	--	--	--	--	10.0	--	--	--
ABMA	Adult	215.47	133.73	--	--	--	--	45.42	--	--	--
ABMA	Adult	73.11	161.84	--	--	--	--	19.93	--	--	--
ABMA	Adult	223.14	73.34	--	--	--	--	11.97	--	--	--
ABMA	Adult	1.01	285.7	--	--	--	--	16.37	--	--	--
ABMA	Adult	151.6	59.37	--	--	--	--	3.53	--	--	--
ABMA	Adult	9.21	217.65	--	--	--	--	3.18	--	--	--
ABMA	Adult	102.67	240.19	--	--	--	--	48.18	--	--	--
ABMA	Adult	168.27	201.47	--	--	--	--	3.97	--	--	--
ABMA	Adult	164.8	141.78	--	--	--	--	15.02	--	--	--
ABMA	Adult	295.22	166.24	--	--	--	--	255.65	--	--	--
ABMA	Adult	268.13	37.26	--	--	--	--	9.08	--	--	--
ABMA	Adult	72.2	116.51	--	--	--	--	107.94	--	--	--
ABMA	Adult	263.56	16.33	--	--	--	--	8.98	--	--	--
ABMA	Adult	190.99	240.54	--	--	--	--	13.14	--	--	--
ABMA	Adult	201.56	18.18	--	--	--	--	10.94	--	--	--
ABMA	Adult	3.25	113.04	--	--	--	--	3.33	--	--	--
ABMA	Adult	255.23	288.9	--	--	--	--	2.35	--	--	--
ABMA	Adult	284.73	109.12	--	--	--	--	20.06	--	--	--
ABMA	Adult	250.61	142.26	--	--	--	--	2.43	--	--	--
ABMA	Adult	192.38	271.43	--	--	--	--	7.08	--	--	--
ABMA	Adult	162.92	88.11	--	--	--	--	61.93	--	--	--
ABMA	Adult	232.83	290.83	--	--	--	--	186.03	--	--	--
ABMA	Adult	87.91	165.22	--	--	--	--	156.03	--	--	--
ABMA	Adult	164.84	154.06	--	--	--	--	11.75	--	--	--
ABMA	Adult	69.55	100.23	--	--	--	--	13.33	--	--	--
ABMA	Adult	112.72	7.27	--	--	--	--	2.79	--	--	--
ABMA	Adult	56.57	123.93	--	--	--	--	10.68	--	--	--
ABMA	Adult	256.39	86.03	--	--	--	--	38.05	--	--	--
ABMA	Adult	17.53	242.37	--	--	--	--	14.1	--	--	--
ABMA	Adult	120.78	99.55	--	--	--	--	61.65	--	--	--
ABMA	Adult	158.36	125.2	--	--	--	--	33.69	--	--	--
ABMA	Adult	199.77	103.66	--	--	--	--	59.57	--	--	--
ABMA	Adult	54.95	227.33	--	--	--	--	17.46	--	--	--
ABMA	Adult	239.05	4.52	--	--	--	--	5.93	--	--	--
ABMA	Adult	149.87	79.8	--	--	--	--	110.23	--	--	--
ABMA	Adult	247.25	277.09	--	--	--	--	14.47	--	--	--
ABMA	Adult	259.88	188.16	--	--	--	--	4.16	--	--	--
ABMA	Adult	227.95	104.38	--	--	--	--	2.16	--	--	--
ABMA	Adult	11.83	205.41	--	--	--	--	53.67	--	--	--
ABMA	Adult	155.13	135.7	--	--	--	--	3.33	--	--	--
ABMA	Adult	199.32	175.23	--	--	--	--	3.47	--	--	--
ABMA	Adult	248.73	135.65	--	--	--	--	71.33	--	--	--
ABMA	Adult	130.7	101.79	--	--	--	--	12.37	--	--	--
ABMA	Adult	252.54	274.92	--	--	--	--	19.79	--	--	--
ABMA	Adult	184.09	215.22	--	--	--	--	1.75	--	--	--
ABMA	Adult	165.59	163.66	--	--	--	--	17.49	--	--	--
ABMA	Adult	197.99	284.43	--	--	--	--	34.41	--	--	--
ABMA	Adult	255.09	240.85	--	--	--	--	21.56	--	--	--
ABMA	Adult	282.11	12.63	--	--	--	--	47.74	--	--	--
ABMA	Adult	200.52	76.15	--	--	--	--	56.41	--	--	--
ABMA	Adult	60.16	127.72	--	--	--	--	1.44	--	--	--
ABMA	Adult	60.8	265.98	--	--	--	--	1.65	--	--	--
ABMA	Adult	254.88	253.58	--	--	--	--	60.67	--	--	--
ABMA	Adult	176.38	218.93	--	--	--	--	3.29	--	--	--
ABMA	Adult	58.46	195.46	--	--	--	--	121.32	--	--	--
ABMA	Adult	275.83	212.33	--	--	--	--	25.11	--	--	--
ABMA	Adult	12.74	239.92	--	--	--	--	51.76	--	--	--
ABMA	Adult	123.12	79.3	--	--	--	--	40.22	--	--	--
ABMA	Adult	178.97	266.13	--	--	--	--	92.83	--	--	--
ABMA	Adult	295.15	56.85	--	--	--	--	0.52	--	--	--
ABMA	Adult	9.45	195.14	--	--	--	--	98.41	--	--	--
ABMA	Adult	114.07	106.45	--	--	--	--	10.55	--	--	--
ABMA	Adult	287.67	292.71	--	--	--	--	46.48	--	--	--
ABMA	Adult	248.64	180.23	--	--	--	--	2.08	--	--	--
ABMA	Adult	36.61	151.58	--	--	--	--	4.6	--	--	--
ABMA	Adult	69.17	135.51	--	--	--	--	109.08	--	--	--
ABMA	Adult	299.07	188.1	--	--	--	--	3.77	--	--	--
ABMA	Adult	62.17	203.68	--	--	--	--	12.63	--	--	--
ABMA	Adult	245.38	169.0	--	--	--	--	4.54	--	--	--
ABMA	Adult	121.58	3.33	--	--	--	--	13.51	--	--	--
ABMA	Adult	281.74	2.97	--	--	--	--	26.87	--	--	--
ABMA	Adult	140.92	214.04	--	--	--	--	118.7	--	--	--
ABMA	Adult	127.46	148.01	--	--	--	--	12.08	--	--	--
ABMA	Adult	57.12	223.34	--	--	--	--	8.39	--	--	--
ABMA	Adult	91.35	243.26	--	--	--	--	2.18	--	--	--
ABMA	Adult	136.56	241.71	--	--	--	--	9.56	--	--	--
ABMA	Adult	198.94	211.8	--	--	--	--	2.18	--	--	--
ABMA	Adult	182.93	118.96	--	--	--	--	50.09	--	--	--
ABMA	Adult	27.42	273.77	--	--	--	--	9.19	--	--	--
ABMA	Adult	161.69	207.68	--	--	--	--	3.92	--	--	--
ABMA	Adult	174.34	119.35	--	--	--	--	141.53	--	--	--
ABMA	Adult	76.44	142.39	--	--	--	--	9.27	--	--	--
ABMA	Adult	158.79	115.64	--	--	--	--	11.01	--	--	--
ABMA	Adult	168.35	238.22	--	--	--	--	19.34	--	--	--
ABMA	Adult	168.09	44.79	--	--	--	--	50.68	--	--	--
ABMA	Adult	189.37	39.01	--	--	--	--	37.19	--	--	--
ABMA	Adult	13.9	256.27	--	--	--	--	39.46	--	--	--
ABMA	Adult	200.36	90.46	--	--	--	--	20.03	--	--	--
ABMA	Adult	165.43	220.2	--	--	--	--	7.37	--	--	--
ABMA	Adult	178.19	64.83	--	--	--	--	62.58	--	--	--
ABMA	Adult	221.24	117.89	--	--	--	--	10.65	--	--	--
ABMA	Adult	43.57	251.43	--	--	--	--	11.36	--	--	--
ABMA	Adult	19.81	284.48	--	--	--	--	6.21	--	--	--
ABMA	Adult	83.34	242.03	--	--	--	--	46.34	--	--	--
ABMA	Adult	97.36	124.24	--	--	--	--	6.98	--	--	--
ABMA	Adult	281.9	49.62	--	--	--	--	2.2	--	--	--
ABMA	Adult	296.9	110.34	--	--	--	--	17.51	--	--	--
ABMA	Adult	189.23	293.18	--	--	--	--	19.9	--	--	--
ABMA	Adult	6.74	203.23	--	--	--	--	50.68	--	--	--
ABMA	Adult	104.58	13.12	--	--	--	--	25.74	--	--	--
ABMA	Adult	240.33	195.57	--	--	--	--	4.07	--	--	--
ABMA	Adult	244.13	133.44	--	--	--	--	55.95	--	--	--
ABMA	Adult	106.8	17.17	--	--	--	--	10.4	--	--	--
ABMA	Adult	122.7	170.66	--	--	--	--	20.34	--	--	--
ABMA	Adult	118.9	167.58	--	--	--	--	5.02	--	--	--
ABMA	Adult	112.91	194.92	--	--	--	--	11.35	--	--	--
ABMA	Adult	16.11	256.61	--	--	--	--	31.38	--	--	--
ABMA	Adult	33.02	139.96	--	--	--	--	81.61	--	--	--
ABMA	Adult	261.22	217.81	--	--	--	--	18.56	--	--	--
ABMA	Adult	109.62	153.47	--	--	--	--	7.2	--	--	--
ABMA	Adult	241.73	193.33	--	--	--	--	77.85	--	--	--
ABMA	Adult	31.94	257.96	--	--	--	--	13.24	--	--	--
ABMA	Adult	245.73	122.35	--	--	--	--	63.18	--	--	--
ABMA	Adult	106.48	252.94	--	--	--	--	2.68	--	--	--
ABMA	Adult	206.95	205.82	--	--	--	--	8.61	--	--	--
ABMA	Adult	250.03	148.84	--	--	--	--	6.78	--	--	--
ABMA	Adult	38.79	153.19	--	--	--	--	18.99	--	--	--
ABMA	Adult	150.29	212.94	--	--	--	--	10.28	--	--	--
ABMA	Adult	187.99	88.12	--	--	--	--	21.34	--	--	--
ABMA	Adult	237.37	280.7	--	--	--	--	20.65	--	--	--
ABMA	Adult	127.53	241.65	--	--	--	--	1.49	--	--	--
ABMA	Adult	98.63	124.21	--	--	--	--	53.44	--	--	--
ABMA	Adult	6.43	106.54	--	--	--	--	20.54	--	--	--
ABMA	Adult	23.56	274.02	--	--	--	--	23.04	--	--	--
ABMA	Adult	23.57	264.48	--	--	--	--	29.58	--	--	--
ABMA	Adult	146.51	106.69	--	--	--	--	23.87	--	--	--
ABMA	Adult	240.84	34.12	--	--	--	--	6.95	--	--	--
ABMA	Adult	170.19	148.94	--	--	--	--	44.61	--	--	--
ABMA	Adult	119.86	140.25	--	--	--	--	14.49	--	--	--
ABMA	Adult	217.32	243.3	--	--	--	--	2.29	--	--	--
ABMA	Adult	278.25	101.03	--	--	--	--	164.14	--	--	--
ABMA	Adult	184.25	246.65	--	--	--	--	18.38	--	--	--
ABMA	Adult	84.93	233.21	--	--	--	--	6.85	--	--	--
ABMA	Adult	242.62	36.77	--	--	--	--	15.67	--	--	--
ABMA	Adult	109.39	14.1	--	--	--	--	8.99	--	--	--
ABMA	Adult	197.38	249.49	--	--	--	--	22.47	--	--	--
ABMA	Adult	117.3	11.27	--	--	--	--	20.56	--	--	--
ABMA	Adult	126.05	161.6	--	--	--	--	63.97	--	--	--
ABMA	Adult	278.89	208.08	--	--	--	--	65.66	--	--	--
ABMA	Adult	28.39	125.69	--	--	--	--	13.39	--	--	--
ABMA	Adult	158.82	155.74	--	--	--	--	24.45	--	--	--
ABMA	Adult	155.87	41.68	--	--	--	--	9.62	--	--	--
ABMA	Adult	267.29	83.52	--	--	--	--	4.91	--	--	--
ABMA	Adult	173.61	268.32	--	--	--	--	43.61	--	--	--
ABMA	Adult	130.32	280.15	--	--	--	--	5.72	--	--	--
ABMA	Adult	209.22	275.56	--	--	--	--	23.1	--	--	--
ABMA	Adult	53.43	164.57	--	--	--	--	11.82	--	--	--
ABMA	Adult	86.99	216.37	--	--	--	--	8.52	--	--	--
ABMA	Adult	173.82	44.01	--	--	--	--	5.53	--	--	--
ABMA	Adult	168.04	270.1	--	--	--	--	6.24	--	--	--
ABMA	Adult	30.12	152.83	--	--	--	--	25.88	--	--	--
ABMA	Adult	112.77	93.58	--	--	--	--	21.23	--	--	--
ABMA	Adult	92.66	163.64	--	--	--	--	3.68	--	--	--
ABMA	Adult	13.02	240.25	--	--	--	--	113.82	--	--	--
ABMA	Adult	132.82	215.35	--	--	--	--	36.03	--	--	--
ABMA	Adult	6.63	168.4	--	--	--	--	10.12	--	--	--
ABMA	Adult	90.43	261.37	--	--	--	--	12.13	--	--	--
ABMA	Adult	212.13	168.5	--	--	--	--	32.5	--	--	--
ABMA	Adult	51.05	218.71	--	--	--	--	2.5	--	--	--
ABMA	Adult	55.82	179.89	--	--	--	--	51.0	--	--	--
ABMA	Adult	233.54	240.82	--	--	--	--	27.1	--	--	--
ABMA	Adult	113.86	124.7	--	--	--	--	7.09	--	--	--
ABMA	Adult	54.32	113.78	--	--	--	--	6.53	--	--	--
ABMA	Adult	12.39	242.8	--	--	--	--	4.46	--	--	--
ABMA	Adult	32.93	238.69	--	--	--	--	24.66	--	--	--
ABMA	Adult	49.41	241.25	--	--	--	--	14.62	--	--	--
ABMA	Adult	161.18	91.63	--	--	--	--	16.05	--	--	--
ABMA	Adult	258.26	99.37	--	--	--	--	40.3	--	--	--
ABMA	Adult	117.92	281.82	--	--	--	--	5.99	--	--	--
ABMA	Adult	262.18	78.97	--	--	--	--	7.9	--	--	--
ABMA	Adult	158.89	80.74	--	--	--	--	30.37	--	--	--
ABMA	Adult	168.21	116.3	--	--	--	--	335.67	--	--	--
ABMA	Adult	1.59	113.8	--	--	--	--	39.44	--	--	--
ABMA	Adult	224.05	157.71	--	--	--	--	21.26	--	--	--
ABMA	Adult	35.03	122.67	--	--	--	--	55.22	--	--	--
ABMA	Adult	267.4	207.0	--	--	--	--	4.89	--	--	--
ABMA	Adult	119.02	62.27	--	--	--	--	10.9	--	--	--
ABMA	Adult	149.49	157.38	--	--	--	--	6.89	--	--	--
ABMA	Adult	233.6	38.23	--	--	--	--	76.08	--	--	--
ABMA	Adult	129.4	282.74	--	--	--	--	120.37	--	--	--
ABMA	Adult	55.98	179.18	--	--	--	--	18.45	--	--	--
ABMA	Adult	100.71	214.17	--	--	--	--	4.85	--	--	--
ABMA	Adult	14.69	120.81	--	--	--	--	55.62	--	--	--
ABMA	Adult	249.64	60.63	--	--	--	--	9.53	--	--	--
ABMA	Adult	191.09	51.47	--	--	--	--	16.65	--	--	--
