Tree map for parameter file C:\Users\SamDavis\Documents\GitHub\SortieRuns\XMLs\093015-runs\093015-EMRIDGE.xml
Species	Type	X	Y	Height	Diam10	Light	Growth	DBH	Crown Radius	Crown Depth	dead
PIMO	Adult	283.735	155.426	--	--	--	--	4.769	--	--	--
PIMO	Adult	289.264	84.782	--	--	--	--	2.44	--	--	--
PIMO	Adult	223.307	126.236	--	--	--	--	16.023	--	--	--
PIMO	Adult	248.755	91.424	--	--	--	--	7.73	--	--	--
PIMO	Adult	23.992	117.536	--	--	--	--	83.247	--	--	--
PIMO	Adult	117.926	59.05	--	--	--	--	10.206	--	--	--
PIMO	Adult	208.52	163.436	--	--	--	--	108.036	--	--	--
PIMO	Adult	289.612	83.051	--	--	--	--	20.23	--	--	--
PIMO	Adult	276.54	281.038	--	--	--	--	1.678	--	--	--
PIMO	Adult	83.959	84.51	--	--	--	--	11.898	--	--	--
PIMO	Adult	41.518	234.687	--	--	--	--	99.811	--	--	--
PIMO	Adult	34.211	261.379	--	--	--	--	38.032	--	--	--
PIMO	Adult	198.733	87.124	--	--	--	--	10.537	--	--	--
PIMO	Adult	75.991	90.501	--	--	--	--	18.604	--	--	--
PIMO	Adult	76.877	262.292	--	--	--	--	23.772	--	--	--
PIMO	Adult	113.276	219.003	--	--	--	--	9.245	--	--	--
PIMO	Adult	244.653	163.57	--	--	--	--	11.886	--	--	--
PIMO	Adult	98.154	112.218	--	--	--	--	4.784	--	--	--
PIMO	Adult	291.512	0.131	--	--	--	--	8.59	--	--	--
PIMO	Adult	267.249	249.295	--	--	--	--	15.447	--	--	--
PIMO	Adult	255.464	130.867	--	--	--	--	17.696	--	--	--
PIMO	Adult	18.035	8.918	--	--	--	--	13.475	--	--	--
PIMO	Adult	244.694	97.774	--	--	--	--	31.497	--	--	--
PIMO	Adult	36.304	141.943	--	--	--	--	113.172	--	--	--
PIMO	Adult	26.106	187.942	--	--	--	--	78.514	--	--	--
PIMO	Adult	111.725	160.422	--	--	--	--	13.76	--	--	--
PIMO	Adult	275.244	193.091	--	--	--	--	9.593	--	--	--
PIMO	Adult	127.998	111.766	--	--	--	--	16.997	--	--	--
PIMO	Adult	178.822	201.445	--	--	--	--	108.626	--	--	--
PIMO	Adult	240.97	123.137	--	--	--	--	7.32	--	--	--
PIMO	Adult	117.201	258.578	--	--	--	--	19.894	--	--	--
PIMO	Adult	296.385	18.981	--	--	--	--	11.119	--	--	--
PIMO	Adult	211.82	158.345	--	--	--	--	26.76	--	--	--
PIMO	Adult	270.192	166.281	--	--	--	--	13.101	--	--	--
PIMO	Adult	183.866	135.229	--	--	--	--	7.081	--	--	--
PIMO	Adult	43.801	258.65	--	--	--	--	21.301	--	--	--
PIMO	Adult	19.612	25.914	--	--	--	--	32.408	--	--	--
PIMO	Adult	203.415	292.249	--	--	--	--	2.507	--	--	--
PIMO	Adult	242.996	130.921	--	--	--	--	57.27	--	--	--
PIMO	Adult	161.19	226.2	--	--	--	--	4.806	--	--	--
