X	Y	Species	Type	Diam	Height
166.53	126.5	ABCO	Adult	10.21	0
78.04	209.78	ABCO	Adult	75.17	0
208.46	11.96	ABCO	Adult	5.04	0
218.25	47.04	ABCO	Adult	7.86	0
93.99	292.61	ABCO	Adult	6.56	0
272.15	98.3	ABCO	Adult	68.33	0
129.75	39.86	ABCO	Adult	48.83	0
75.51	195.15	ABCO	Adult	5.11	0
191.08	174.59	ABCO	Adult	62.69	0
231.54	115.36	ABCO	Adult	13.28	0
265.7	32.83	ABCO	Adult	2.97	0
186.07	220.35	ABCO	Adult	61.41	0
197.57	45.38	ABCO	Adult	5.07	0
143.59	37.48	ABCO	Adult	18.76	0
240.93	206.38	ABCO	Adult	10.96	0
159.46	122.65	ABCO	Adult	10.94	0
123.72	194.24	ABCO	Adult	46.24	0
80.73	130.33	ABCO	Adult	12.02	0
173.39	21.83	ABCO	Adult	5.62	0
0.67	225.57	ABCO	Adult	26.35	0
217.86	5.38	ABCO	Adult	1.8	0
156.87	64.48	ABCO	Adult	8.2	0
19	262.93	ABCO	Adult	31.4	0
125.77	22.6	ABCO	Adult	10.11	0
151.69	22.69	ABCO	Adult	36.49	0
127.56	233.48	ABCO	Adult	26.52	0
281.81	138.81	ABCO	Adult	27.33	0
81.23	101.5	ABCO	Adult	24.39	0
93.94	187.17	ABCO	Adult	2.96	0
258.46	183.99	ABCO	Adult	141.99	0
141.31	79.89	ABCO	Adult	8.47	0
11.66	296.51	ABCO	Adult	6.99	0
187.81	100.99	ABCO	Adult	13.5	0
271.46	220.74	ABCO	Adult	3.39	0
156.26	131.08	ABCO	Adult	12.36	0
260.77	121.12	ABCO	Adult	7.06	0
9.8	274.83	ABCO	Adult	10.91	0
159.2	117.48	ABCO	Adult	4.86	0
252.49	251.9	ABCO	Adult	12.6	0
245.08	93.96	ABCO	Adult	15.98	0
272.1	67.45	ABCO	Adult	9.81	0
174.34	117.78	ABCO	Adult	21.18	0
165.09	29.53	ABCO	Adult	2.04	0
214.48	20.77	ABCO	Adult	18.76	0
262.84	240.07	ABCO	Adult	8.33	0
144.69	206.33	ABCO	Adult	17.69	0
178.16	128.26	ABCO	Adult	7.86	0
