X	Y	Species	Type	Diam
245.38	264.28	ABCO	Adult	2.27
267.08	22.28	ABCO	Adult	0.81
267.29	137.56	ABCO	Adult	2.7
71.16	204.45	ABCO	Adult	10.58
37.96	190.39	ABCO	Adult	6.42
195.23	284.31	ABCO	Adult	10.61
220.93	114.39	ABCO	Adult	35.87
125.38	117.23	ABCO	Adult	2.61
108.71	186.03	ABCO	Adult	4.26
2.76	296.42	ABCO	Adult	1.99
213.23	221.98	ABCO	Adult	3.78
296.15	236.2	ABCO	Adult	15.97
105.13	48.65	ABCO	Adult	7.22
283.98	134.72	ABCO	Adult	2.18
97.94	84.22	ABCO	Adult	1.26
239.9	225.58	ABCO	Adult	4.5
140.57	244.51	ABCO	Adult	1.44
194.66	15.33	ABCO	Adult	30.99
65.48	193.73	ABCO	Adult	5
134.47	34.7	ABCO	Adult	4.7
146.5	106.78	ABCO	Adult	76.42
196.37	94.83	ABCO	Adult	21.01
91.76	160.54	ABCO	Adult	2.47
142.65	191.35	ABCO	Adult	2.2
161.35	46.96	ABCO	Adult	68.63
291.52	105.86	ABCO	Adult	3.17
11.19	272.38	ABCO	Adult	5
168.55	28.58	ABCO	Adult	2.12
243.54	26.77	ABCO	Adult	3.79
257.36	26.92	ABCO	Adult	1.48
139.26	256.09	ABCO	Adult	8.41
292.43	30.43	ABCO	Adult	14.16
59.09	160.5	ABCO	Adult	3.48
294.56	187.49	ABCO	Adult	12.33
76.83	75.5	ABCO	Adult	1.86
32.5	298.29	ABCO	Adult	2.17
122.58	39.94	ABCO	Adult	4.73
282.55	57.15	ABCO	Adult	4.35
115.42	30.67	ABCO	Adult	0.41
164.36	7.56	ABCO	Adult	1.79
215.88	112.95	ABCO	Adult	3.63
296.72	159.42	ABCO	Adult	2.99
262.04	67.18	ABCO	Adult	12.92
111.44	108.37	ABCO	Adult	5.47
141.03	58.72	ABCO	Adult	13.4
20.74	253.54	ABCO	Adult	12.5
243.9	237.47	ABCO	Adult	2.79
178.17	148.53	ABCO	Adult	36.31
284.54	189.31	ABCO	Adult	13.67
72.95	292.7	ABCO	Adult	7.25
282.45	61.49	ABCO	Adult	6.91
146.31	76.97	ABCO	Adult	5.84
169.09	45.22	ABCO	Adult	9.89
256.91	213.32	ABCO	Adult	3.33
143.85	139.77	ABCO	Adult	24.97
299.8	137.36	ABCO	Adult	4.99
125.88	170.48	ABCO	Adult	2.84
253.81	2.21	ABCO	Adult	1.53
146.54	92.89	ABCO	Adult	6.67
255.13	37.11	ABCO	Adult	3.87
122.78	220.33	ABCO	Adult	18.54
170.69	221.4	ABCO	Adult	6.17
299.78	74.38	ABCO	Adult	28.19
255.29	197.08	ABCO	Adult	5.11
133.06	155.32	ABCO	Adult	5.68
153.58	214.76	ABCO	Adult	9.68
204.14	178.94	ABCO	Adult	19.64
133.48	81.81	ABCO	Adult	0.81
298.25	270.36	ABCO	Adult	4.73
138.53	58.89	ABCO	Adult	4.08
76.11	51.12	ABCO	Adult	4.32
116.81	32.17	ABCO	Adult	18.86
151.51	279.02	ABCO	Adult	1.52
279.66	37.65	ABCO	Adult	37.38
6.42	251.76	ABCO	Adult	25.53
112.6	11.21	ABCO	Adult	5.88
134.19	96.57	ABCO	Adult	23.26
253.73	142.83	ABCO	Adult	5.85
217.63	0.02	ABCO	Adult	11.67
34.48	285.03	ABCO	Adult	0.28
123.25	38.3	ABCO	Adult	6.47
72.58	193.97	ABCO	Adult	16.88
275.47	90.67	ABCO	Adult	19.18
215.68	130.47	ABCO	Adult	1.47
18.66	170.29	ABCO	Adult	5.28
190.23	21.01	ABCO	Adult	1.85
275.5	177.53	ABCO	Adult	15.67
99.29	188.91	ABCO	Adult	1.27
214.3	24.17	ABCO	Adult	12.72
126.71	191.6	ABCO	Adult	42.46
228.39	189.9	ABCO	Adult	4.5
116.61	40.11	ABCO	Adult	0.31
115.15	130.19	ABCO	Adult	6.24
279.68	246.73	ABCO	Adult	14.01
177.55	268.14	ABCO	Adult	9.4
151.39	299.33	ABCO	Adult	0.67
289.5	147.93	ABCO	Adult	0.91
95.94	290.99	ABCO	Adult	6.04
201.72	274.49	ABCO	Adult	45.49
145.49	6.2	ABCO	Adult	50.62
26.35	153.32	ABCO	Adult	1.06
270.63	45.76	ABCO	Adult	4.37
103.08	176.39	ABCO	Adult	0.96
287.97	287.02	ABCO	Adult	3.15
123.13	84.95	ABCO	Adult	2.36
77.09	271.47	ABCO	Adult	0.6
87.07	269.98	ABCO	Adult	3.79
106.31	79.35	ABCO	Adult	4.69
156.6	15.56	ABCO	Adult	4.47
227.33	242.35	ABCO	Adult	13.48
299.96	232.09	ABCO	Adult	7.19
272.53	271.42	ABCO	Adult	0.91
148.68	153.82	ABCO	Adult	16.12
216.98	52.9	ABCO	Adult	17.53
148.82	172.21	ABCO	Adult	5.05
225.95	49.52	ABCO	Adult	2.4
202.63	283.6	ABCO	Adult	5.76
252.56	40.36	ABCO	Adult	5.52
38.61	156.3	ABCO	Adult	1.81
108.34	66.76	ABCO	Adult	9.55
167.05	231.55	ABCO	Adult	2.93
297.01	104.8	ABCO	Adult	33.75
158.96	183.88	ABCO	Adult	5.17
200.49	219.72	ABCO	Adult	2.56
295.27	289	ABCO	Adult	2.32
232.55	115.02	ABCO	Adult	31.43
115.68	173.58	ABCO	Adult	1.11
276.23	55.62	ABCO	Adult	8.14
227.72	224.62	ABCO	Adult	11.07
242.56	221.59	ABCO	Adult	7.74
193.23	184.08	ABCO	Adult	14.11
149.91	176.07	ABCO	Adult	5.22
220.21	248.04	ABCO	Adult	6.53
155.4	78.2	ABCO	Adult	3.23
214.72	115.5	ABCO	Adult	4.71
269.44	238.31	ABCO	Adult	1.48
186.26	292.65	ABCO	Adult	2.24
193.91	49.84	ABCO	Adult	19.33
266.42	259.99	ABCO	Adult	6.92
191.48	237.27	ABCO	Adult	9.56
48.08	250.45	ABCO	Adult	10.9
290.71	151.72	ABCO	Adult	4.19
265.56	256.77	ABCO	Adult	11.09
234.23	130.18	ABCO	Adult	44.73
118.49	256.62	ABCO	Adult	4.83
171.46	34.77	ABCO	Adult	1.93
163.86	246.97	ABCO	Adult	15.17
246.49	19.1	ABCO	Adult	1.66
146.4	152.42	ABCO	Adult	10.18
90.24	250.76	ABCO	Adult	12.65
118.47	214.14	ABCO	Adult	11.92
108.75	64.03	ABCO	Adult	8.12
169.53	263.3	ABCO	Adult	0.42
104.02	169.71	ABCO	Adult	24.71
152.26	198.64	ABCO	Adult	2.05
75.77	68.89	ABCO	Adult	36.4
293.22	20.58	ABCO	Adult	0.41
173.85	132.39	ABCO	Adult	3.66
174.69	23.91	ABCO	Adult	21.07
98.11	283.84	ABCO	Adult	14.16
142.3	92.4	ABCO	Adult	2.94
220.74	6.49	ABCO	Adult	16.8
275.55	112.72	ABCO	Adult	8.32
133.31	180.41	ABCO	Adult	2.71
89.93	129.76	ABCO	Adult	4.92
118.7	179.02	ABCO	Adult	19.92
149.76	78.23	ABCO	Adult	6.44
192.79	246.14	ABCO	Adult	2.78
214.32	226.03	ABCO	Adult	4.34
133.48	252.7	ABCO	Adult	15
176.62	76.49	ABCO	Adult	3.22
265.66	150.25	ABCO	Adult	1.1
285.13	255.1	ABCO	Adult	8.34
94.43	284.44	ABCO	Adult	4.04
192.35	157.01	ABCO	Adult	11.68
110.96	49.58	ABCO	Adult	3.52
118.14	24.69	ABCO	Adult	27.61
67.98	248.27	ABCO	Adult	15.59
239.16	255.25	ABCO	Adult	12.41
181.87	234.87	ABCO	Adult	22.85
87.16	279.34	ABCO	Adult	2.32
49.3	292.11	ABCO	Adult	12.37
4.49	276.28	ABCO	Adult	3.1
157.58	71.86	ABCO	Adult	3.05
36.2	280.55	ABCO	Adult	2.97
146.09	186.09	ABCO	Adult	1.25
95.47	154.34	ABCO	Adult	4.07
149.44	110.51	ABCO	Adult	74.11
268.83	260.25	ABCO	Adult	6.17
160.75	4.21	ABCO	Adult	18.01
64.06	178.56	ABCO	Adult	3.86
239.88	207.78	ABCO	Adult	5.1
68.34	266.01	ABCO	Adult	8.24
225.44	247.93	ABCO	Adult	33.72
103.7	225.56	ABCO	Adult	4.62
187.08	13.16	ABCO	Adult	18.03
101.23	270.61	ABCO	Adult	1.3
19.95	206.9	ABCO	Adult	3.39
247.05	0.28	ABCO	Adult	7.65
131.02	153.26	ABCO	Adult	3.2
36.07	215.8	ABCO	Adult	11.33
253.1	43.31	ABCO	Adult	16.22
150.82	200.59	ABCO	Adult	12.11
211.16	101.83	ABCO	Adult	14
263.5	296.15	ABCO	Adult	3.26
281.91	44.01	ABCO	Adult	17.96
19.36	176.41	ABCO	Adult	1.79
124.17	116.02	ABCO	Adult	37.4
150.95	51.16	ABCO	Adult	12.2
174.37	50.37	ABCO	Adult	12.32
33.86	252.08	ABCO	Adult	0.8
181.82	74.15	ABCO	Adult	5.06
118.44	242.68	ABCO	Adult	14.8
274.79	1.32	ABCO	Adult	10.48
277.19	113.06	ABCO	Adult	7
159.56	95.13	ABCO	Adult	2.92
176.31	46.89	ABCO	Adult	27.22
142.68	89.29	ABCO	Adult	31.13
183.86	15.09	ABCO	Adult	3.75
196.97	32.47	ABCO	Adult	131.94
240.4	183.23	ABCO	Adult	2.36
100.81	41.67	ABCO	Adult	4.59
294.25	173.04	ABCO	Adult	3.3
212.98	121.09	ABCO	Adult	2.43
1.96	157.81	ABCO	Adult	3.3
200.48	118.36	ABCO	Adult	5.74
275.41	99.02	ABCO	Adult	12.45
269.05	228.91	ABCO	Adult	6.6
263.36	9.44	ABCO	Adult	0.7
148.69	152.44	ABCO	Adult	5.53
255.74	178.35	ABCO	Adult	16.47
195.38	43.85	ABCO	Adult	2.53
156.88	8.35	ABCO	Adult	8.53
240.36	46.51	ABCO	Adult	1.15
25.73	209.22	ABCO	Adult	0.9
139.59	34.45	ABCO	Adult	1.73
224.39	128.62	ABCO	Adult	28.88
194.5	95.39	ABCO	Adult	3.24
33.09	230.56	ABCO	Adult	1.63
183.94	277.35	ABCO	Adult	5.03
287.25	180.09	ABCO	Adult	12.26
26.75	284.29	ABCO	Adult	2.46
178.82	152.08	ABCO	Adult	7.8
34.22	212.79	ABCO	Adult	0.5
49.65	298.82	ABCO	Adult	5.6
244.3	263.66	ABCO	Adult	32.67
141.98	180.02	ABCO	Adult	7.34
260	252.55	ABCO	Adult	14.21
245.84	121.43	ABCO	Adult	3.12
197.38	128.65	ABCO	Adult	1.13
165.2	89.81	ABCO	Adult	1.64
192.32	42.13	ABCO	Adult	6.94
261.76	219.48	ABCO	Adult	17.41
93.49	62.76	ABCO	Adult	42.93
214.64	186.56	ABCO	Adult	12.75
283.63	215.67	ABCO	Adult	3.39
257.27	273.26	ABCO	Adult	24.51
288.57	137.88	ABCO	Adult	2.34
166.29	196.04	ABCO	Adult	2.01
185.91	167.67	ABCO	Adult	7.22
253.14	250.89	ABCO	Adult	17.53
97.49	184.48	ABCO	Adult	2.32
290.2	256.67	ABCO	Adult	6.78
265.76	258.29	ABCO	Adult	3.73
159.64	237.45	ABCO	Adult	5.03
39.35	185.54	ABCO	Adult	5.28
242.77	281.11	ABCO	Adult	46.05
157.07	10.69	ABCO	Adult	1.06
212.54	231.24	ABCO	Adult	1.17
186.73	230.2	ABCO	Adult	0.89
232.95	287.43	ABCO	Adult	3.07
96.79	165.29	ABCO	Adult	8.84
92.34	181.45	ABCO	Adult	1.95
295.36	154.24	ABCO	Adult	1.1
89.72	143.12	ABCO	Adult	19.95
109.65	60.29	ABCO	Adult	5.27
97.31	64.29	ABCO	Adult	74.47
55.46	173.97	ABCO	Adult	4.94
141.8	254.33	ABCO	Adult	0.93
132.76	0.5	ABCO	Adult	2.06
106.1	285.63	ABCO	Adult	12.39
289.65	3.64	ABCO	Adult	5.71
187.68	157.59	ABCO	Adult	5.22
155.8	25.82	ABCO	Adult	42.32
118.43	213.03	ABCO	Adult	9.65
217.66	109.06	ABCO	Adult	7.7
274.82	32.1	ABCO	Adult	5.02
93.7	83.85	ABCO	Adult	20.91
277.74	286.08	ABCO	Adult	6.05
104.73	153.02	ABCO	Adult	3.88
126.33	9.21	ABCO	Adult	0.69
213.43	108.46	ABCO	Adult	5.22
233.25	72.51	ABCO	Adult	10.39
90.59	164.04	ABCO	Adult	0.89
121.05	66.56	ABCO	Adult	2.43
115.15	174.72	ABCO	Adult	9.12
197.39	252.68	ABCO	Adult	19.43
33.24	221.52	ABCO	Adult	12.43
272.54	294.98	ABCO	Adult	2.08
240.52	221.21	ABCO	Adult	9.15
170.23	144.34	ABCO	Adult	2.83
147.75	234.68	ABCO	Adult	2.22
208.62	158.78	ABCO	Adult	10.97
76.24	236.07	ABCO	Adult	3.78
157.42	279.57	ABCO	Adult	4.45
228.66	178.47	ABCO	Adult	13.15
294.34	127.64	ABCO	Adult	18.42
283.36	52.84	ABCO	Adult	36.7
3.75	175.7	ABCO	Adult	30.66
224.74	131.21	ABCO	Adult	8.74
18.75	279.12	ABCO	Adult	2.68
33.57	163.11	ABCO	Adult	7.92
179.79	125.31	ABCO	Adult	1.74
101.6	245.05	ABCO	Adult	1.29
33.8	156.25	ABCO	Adult	36.03
82.29	221.35	ABCO	Adult	2.34
219.6	50	ABCO	Adult	3.05
120.21	274.72	ABCO	Adult	2.33
232.33	251.49	ABCO	Adult	3.79
144.68	2.79	ABCO	Adult	2.08
83.03	96.15	ABCO	Adult	0.43
36.56	171.5	ABCO	Adult	8.36
85.77	290.36	ABCO	Adult	3.18
164.48	234.02	ABCO	Adult	11.53
189.22	123.48	ABCO	Adult	9.18
240.16	22.4	ABCO	Adult	5.71
172.95	284.48	ABCO	Adult	5.78
135.64	30.77	ABCO	Adult	24.15
216.97	240.66	ABCO	Adult	1.44
234.47	58.96	ABCO	Adult	2.34
298.59	227.92	ABCO	Adult	40.43
16.9	233.41	ABCO	Adult	1.62
235.26	80.56	ABCO	Adult	23.88
282.12	297.35	ABCO	Adult	10.92
181.34	204.82	ABCO	Adult	4.97
50.06	296.36	ABCO	Adult	1.83
218.18	197.6	ABCO	Adult	40.43
206.59	71.32	ABCO	Adult	2.46
272.7	146.44	ABCO	Adult	1.66
157.69	92.08	ABCO	Adult	8.95
9.56	240.96	ABCO	Adult	1.7
279.37	92.62	ABCO	Adult	3.83
158.73	184.3	ABCO	Adult	1.66
134.37	273.4	ABCO	Adult	4.95
135.65	191.35	ABCO	Adult	6.42
258.01	178.01	ABCO	Adult	0.92
83.59	155.82	ABCO	Adult	45.66
202.96	96.56	ABCO	Adult	0.41
239.01	86.14	ABCO	Adult	8.26
223.92	270.45	ABCO	Adult	38.09
83.38	121.11	ABCO	Adult	6.19
150.11	297.35	ABCO	Adult	8.56
179.32	221.89	ABCO	Adult	3.49
48.23	284.69	ABCO	Adult	2.78
113.29	264.05	ABCO	Adult	16.01
89.6	71.65	ABCO	Adult	4.83
248.06	296.77	ABCO	Adult	18.98
126.13	103.34	ABCO	Adult	11.16
8.89	243.93	ABCO	Adult	4.77
264.48	73.07	ABCO	Adult	1.06
126.22	251.3	ABCO	Adult	5.93
87.53	218.32	ABCO	Adult	1.39
88.07	87.18	ABCO	Adult	11.19
158.47	242.48	ABCO	Adult	2.01
224.73	209	ABCO	Adult	1.85
256.45	112.79	ABCO	Adult	4.44
193.64	241.49	ABCO	Adult	1.95
163.59	249.16	ABCO	Adult	48.94
100.89	259.72	ABCO	Adult	1.24
236.55	106.43	ABCO	Adult	2.71
150.34	123.87	ABCO	Adult	13.52
153.93	285.48	ABCO	Adult	15.19
135.78	148.38	ABCO	Adult	8.56
292	264.52	ABCO	Adult	7.62
16.56	248.65	ABCO	Adult	10.61
59.83	260.46	ABCO	Adult	1.28
203.17	114.93	ABCO	Adult	6.89
106.84	62.02	ABCO	Adult	1.19
64.38	250.09	ABCO	Adult	3.41
228.39	94.17	ABCO	Adult	4.99
156.98	67.95	ABCO	Adult	0.72
212.97	21.96	ABCO	Adult	77.14
260.95	163.74	ABCO	Adult	3.08
275.52	272.71	ABCO	Adult	0.86
233.13	128.13	ABCO	Adult	63.91
177.83	168.7	ABCO	Adult	42.7
213.07	80.88	ABCO	Adult	0.4
251.89	188.09	ABCO	Adult	2.29
166.95	29.85	ABCO	Adult	5.03
126.91	224	ABCO	Adult	0.68
278.08	230.08	ABCO	Adult	0.33
107.31	86.43	ABCO	Adult	18.96
228.81	97.37	ABCO	Adult	9.19
132.24	60.28	ABCO	Adult	22.97
256.81	70.36	ABCO	Adult	4.32
40.34	238.61	ABCO	Adult	9.86
236.98	285.52	ABCO	Adult	1.96
100.61	260.2	ABCO	Adult	0.54
7.7	225.66	ABCO	Adult	5.19
101.78	89.6	ABCO	Adult	0.83
73.35	265.86	ABCO	Adult	5.36
0.81	163.34	ABCO	Adult	12.31
125.11	127.5	ABCO	Adult	3.64
163.84	35.02	ABCO	Adult	1.21
140.64	280.85	ABCO	Adult	3.37
204.46	37.04	ABCO	Adult	29.13
78.77	186.47	ABCO	Adult	23.75
127.74	29	ABCO	Adult	17.68
30.58	241.21	ABCO	Adult	2.17
240.4	54.62	ABCO	Adult	8.49
168.34	124.54	ABCO	Adult	11.77
105.04	34.7	ABCO	Adult	67.01
143.65	188.37	ABCO	Adult	11.02
174.24	80.12	ABCO	Adult	1.87
82.76	198.01	ABCO	Adult	3.65
103.24	262.55	ABCO	Adult	0.63
131.92	1.75	ABCO	Adult	4.62
227.33	227.11	ABCO	Adult	17.5
273.72	191.29	ABCO	Adult	6.91
134.96	42.32	ABCO	Adult	5.65
151.17	237.8	ABCO	Adult	7.14
126.38	277.3	ABCO	Adult	3.24
129.65	134.59	ABCO	Adult	1.1
159.47	49.16	ABCO	Adult	11.07
239.53	26.6	ABCO	Adult	5.68
299.13	281.37	ABCO	Adult	6.67
270.27	268.7	ABCO	Adult	12.94
215.34	250.23	ABCO	Adult	5.1
283.75	249.85	ABCO	Adult	4.12
49.48	171.45	ABCO	Adult	2.17
59.8	298.04	ABCO	Adult	3.16
6.17	159.76	ABCO	Adult	5.82
278.75	267.81	ABCO	Adult	7.29
163.18	201.14	ABCO	Adult	17.58
278.67	158.01	ABCO	Adult	11.04
225.4	166.64	ABCO	Adult	26.34
122.27	201.37	ABCO	Adult	4.43
27.94	222.25	ABCO	Adult	2.69
228.85	60.89	ABCO	Adult	5.64
40.06	186.68	ABCO	Adult	72.78
268.86	68.7	ABCO	Adult	8.93
65.31	231.49	ABCO	Adult	1.32
242.78	288.71	ABCO	Adult	4.12
207.03	68.89	ABCO	Adult	4.71
271.63	248.19	ABCO	Adult	3.69
277.19	87.77	ABCO	Adult	1.07
73.62	189.37	ABCO	Adult	1.48
124.22	182.99	ABCO	Adult	0.42
196.23	274.48	ABCO	Adult	55.78
240.93	213.54	ABCO	Adult	59.18
115.46	63.19	ABCO	Adult	21.89
296.01	84.45	ABCO	Adult	0.98
298.97	33.82	ABCO	Adult	6.77
107.48	107.01	ABCO	Adult	1.9
21.03	163.72	ABCO	Adult	16.27
204.15	208.7	ABCO	Adult	59.1
279.39	267.17	ABCO	Adult	0.6
83.84	190.13	ABCO	Adult	0.47
134.21	235.74	ABCO	Adult	0.3
131.68	211.46	ABCO	Adult	1.48
97.94	179.59	ABCO	Adult	2.6
192.62	199.23	ABCO	Adult	1.66
143.52	30.43	ABCO	Adult	2.11
258.92	82.71	ABCO	Adult	1.06
140.2	168.91	ABCO	Adult	1.12
298.78	34.25	ABCO	Adult	6.62
159.1	299.88	ABCO	Adult	0.87
147.41	14.87	ABCO	Adult	6.38
75.03	230.05	ABCO	Adult	44.85
36.04	245.78	ABCO	Adult	3.02
135.6	248	ABCO	Adult	2.63
183.13	175.04	ABCO	Adult	35.28
41.39	224.49	ABCO	Adult	10.16
92.81	138.49	ABCO	Adult	2.17
178.18	285.98	ABCO	Adult	24.66
285.74	85.58	ABCO	Adult	4.47
248.38	43.43	ABCO	Adult	5.08
223.61	116.33	ABCO	Adult	2.45
293.41	23.54	ABCO	Adult	2.6
188.51	218.83	ABCO	Adult	1.27
236.18	77.3	ABCO	Adult	44.94
120.39	100.61	ABCO	Adult	13.7
199.18	28.64	ABCO	Adult	11.98
96.65	110.27	ABCO	Adult	2.47
38.93	281.95	ABCO	Adult	1.81
197.15	246.28	ABCO	Adult	8.34
103.59	252.43	ABCO	Adult	11.95
228.66	270.65	ABCO	Adult	4.75
202.71	160.39	ABCO	Adult	4.15
295.28	70.11	ABCO	Adult	5.14
150.42	43.41	ABCO	Adult	15.69
283.33	153.12	ABCO	Adult	6.47
81.36	290.39	ABCO	Adult	22.99
122.05	143.61	ABCO	Adult	27.56
184.48	54.19	ABCO	Adult	25.76
239.75	98.39	ABCO	Adult	20.4
207.52	42.91	ABCO	Adult	1.36
223.65	150.57	ABCO	Adult	8.45
70.16	201.67	ABCO	Adult	3.59
262.82	281.91	ABCO	Adult	2.72
58.34	266.43	ABCO	Adult	0.27
172.65	133.26	ABCO	Adult	0.59
56.31	230.96	ABCO	Adult	2.03
167.72	232.35	ABCO	Adult	2.44
203.33	57.53	ABCO	Adult	7.66
38.18	274.81	ABCO	Adult	4.22
141.19	124.14	ABCO	Adult	20.26
86.08	211.04	ABCO	Adult	4.52
246.62	201.06	ABCO	Adult	2.05
80.2	241.48	ABCO	Adult	1.33
92.26	262.25	ABCO	Adult	12.37
209.61	290.9	ABCO	Adult	5.7
10.31	271.96	ABCO	Adult	1.02
205.74	139.8	ABCO	Adult	29.26
85.07	68.92	ABCO	Adult	5.26
130.05	234.37	ABCO	Adult	5.18
84.94	287.18	ABCO	Adult	0.98
287.06	24.21	ABCO	Adult	11.65
240.59	270.71	ABCO	Adult	19.28
268.51	264.53	ABCO	Adult	6.52
140.26	137.64	ABCO	Adult	29.57
99.75	187.47	ABCO	Adult	16.36
244.7	87.95	ABCO	Adult	1.84
87.07	117.75	ABCO	Adult	3.39
247.44	98.3	ABCO	Adult	12.68
294.62	27.94	ABCO	Adult	12.38
266.83	248.18	ABCO	Adult	5.2
173.66	226.14	ABCO	Adult	69.42
94.25	17.68	ABCO	Adult	3.62
28.7	255.19	ABCO	Adult	3.67
206.52	105.91	ABCO	Adult	3.14
209.83	191.23	ABCO	Adult	18.55
96.17	119.65	ABCO	Adult	1.36
141.34	42.56	ABCO	Adult	6.88
194.59	254.86	ABCO	Adult	6.15
261.17	44.75	ABCO	Adult	4.44
132.73	142.77	ABCO	Adult	6.78
171.47	140.27	ABCO	Adult	15.35
228.04	203.78	ABCO	Adult	15.79
183.67	141.34	ABCO	Adult	0.13
152.69	17.87	ABCO	Adult	1.1
246.18	135.26	ABCO	Adult	8.19
213.71	178.69	ABCO	Adult	3.03
200.72	136.93	ABCO	Adult	3.63
261.62	174.06	ABCO	Adult	3.37
254.45	1.1	ABCO	Adult	13.3
170.71	71.87	ABCO	Adult	74.15
213.63	197.93	ABCO	Adult	14.28
237.04	68.78	ABCO	Adult	13
213.86	183.34	ABCO	Adult	1.14
194.59	273.88	ABCO	Adult	7.7
248.26	114.47	ABCO	Adult	92.42
197.19	147.36	ABCO	Adult	0.26
162.8	170.88	ABCO	Adult	6.54
136.12	225.83	ABCO	Adult	3.1
30.53	192.84	ABCO	Adult	17.01
32.41	297.69	ABCO	Adult	1.37
212.1	166.62	ABCO	Adult	5.32
241.61	201.53	ABCO	Adult	2.08
211.1	160.34	ABCO	Adult	8.86
126.6	249.44	ABCO	Adult	26.35
248.45	26.1	ABCO	Adult	37.15
166.31	120.88	ABCO	Adult	7.15
260.97	158.49	ABCO	Adult	5.08
298.41	156.34	ABCO	Adult	32.35
111.23	41.73	ABCO	Adult	10.32
140.76	281.32	ABCO	Adult	0.58
226.79	196.87	ABCO	Adult	2.79
253.72	204.28	ABCO	Adult	6.6
233.88	191.62	ABCO	Adult	2.59
203.61	153.26	ABCO	Adult	1.51
92.96	231.97	ABCO	Adult	1.18
18.18	282.64	ABCO	Adult	2.31
98.61	175.95	ABCO	Adult	7.95
285.29	61.05	ABCO	Adult	19.29
202.16	126.29	ABCO	Adult	30.73
114.89	215.47	ABCO	Adult	8.36
257.44	189.65	ABCO	Adult	0.91
