X	Y	Species	Type	Diam
261.88	221	ABCO	Adult	32.78
299.77	207.13	ABCO	Adult	25.5
133.38	157.71	ABCO	Adult	10
18.84	287.23	ABCO	Adult	4.85
165.41	143.23	ABCO	Adult	90.42
271.74	143.13	ABCO	Adult	2.41
86.39	147.31	ABCO	Adult	50.81
212.43	94.19	ABCO	Adult	17.56
153.83	203.95	ABCO	Adult	117.65
145.51	126.24	ABCO	Adult	129
146.16	278.88	ABCO	Adult	6.82
137.4	165.78	ABCO	Adult	8.9
55.72	147.21	ABCO	Adult	91.96
161.91	228.14	ABCO	Adult	2.59
89.67	140.11	ABCO	Adult	10.62
74.09	174.4	ABCO	Adult	1.84
126.53	117.01	ABCO	Adult	13.19
222.91	181.38	ABCO	Adult	35.38
54.42	197.66	ABCO	Adult	23.45
284.91	21.69	ABCO	Adult	59.23
91.37	80.56	ABCO	Adult	14.82
125.36	294.65	ABCO	Adult	42.24
293.65	115.3	ABCO	Adult	6.86
25.27	96.45	ABCO	Adult	56.97
68.66	173.23	ABCO	Adult	2.25
290.47	136.93	ABCO	Adult	37.66
153.2	117.35	ABCO	Adult	3.38
144.4	215.99	ABCO	Adult	23.25
74.1	151.96	ABCO	Adult	24.21
35.77	298.44	ABCO	Adult	243.37
157.88	292.04	ABCO	Adult	3.75
126.27	136.28	ABCO	Adult	1.18
216.69	247.32	ABCO	Adult	54.52
238.56	35.87	ABCO	Adult	29.63
173.38	190.76	ABCO	Adult	53.67
269.73	146.53	ABCO	Adult	8.96
151.66	219.24	ABCO	Adult	3.01
154.62	265.41	ABCO	Adult	4.19
143.56	212.32	ABCO	Adult	35.67
256.26	84.59	ABCO	Adult	11.52
25.66	259.33	ABCO	Adult	5.69
207.87	129.62	ABCO	Adult	2.9
284.6	118.7	ABCO	Adult	23.78
227.23	214.28	ABCO	Adult	26.05
220.33	222.89	ABCO	Adult	457.41
160.21	53.04	ABCO	Adult	42.43
187.22	118.41	ABCO	Adult	2.3
